t,cat,level,x,y,n
tt0121955,Sex & Nudity,Severe,425,561,425
tt0121955,Violence & Gore,Severe,363,497,363
tt0121955,Profanity,Severe,457,518,457
tt0121955,"Alcohol, Drugs & Smoking",Severe,281,455,281
tt0121955,Frightening & Intense Scenes,Severe,263,507,263
tt2085059,Sex & Nudity,Severe,422,767,422
tt2085059,Violence & Gore,Severe,191,325,191
tt2085059,Profanity,Severe,235,332,235
tt2085059,"Alcohol, Drugs & Smoking",Mild,170,296,170
tt2085059,Frightening & Intense Scenes,Severe,261,320,261
tt6524350,Sex & Nudity,Severe,402,480,402
tt6524350,Violence & Gore,Mild,158,305,158
tt6524350,Profanity,Severe,267,318,267
tt6524350,"Alcohol, Drugs & Smoking",Mild,127,275,127
tt6524350,Frightening & Intense Scenes,None,149,274,149
tt2230051,Sex & Nudity,Severe,388,492,388
tt2230051,Violence & Gore,Moderate,78,166,78
tt2230051,Profanity,Moderate,60,152,60
tt2230051,"Alcohol, Drugs & Smoking",None,111,154,111
tt2230051,Frightening & Intense Scenes,Moderate,55,137,55
tt2707408,Sex & Nudity,Severe,382,517,382
tt2707408,Violence & Gore,Severe,207,234,207
tt2707408,Profanity,Severe,190,234,190
tt2707408,"Alcohol, Drugs & Smoking",Severe,191,220,191
tt2707408,Frightening & Intense Scenes,Severe,168,215,168
tt2261227,Sex & Nudity,Severe,369,503,369
tt2261227,Violence & Gore,Severe,170,203,170
tt2261227,Profanity,Moderate,81,171,81
tt2261227,"Alcohol, Drugs & Smoking",Moderate,88,168,88
tt2261227,Frightening & Intense Scenes,Moderate,81,172,81
tt2356777,Sex & Nudity,Severe,367,517,367
tt2356777,Violence & Gore,Severe,149,196,149
tt2356777,Profanity,Severe,154,192,154
tt2356777,"Alcohol, Drugs & Smoking",Severe,148,197,148
tt2356777,Frightening & Intense Scenes,Severe,161,207,161
tt0844441,Sex & Nudity,Severe,360,434,360
tt0844441,Violence & Gore,Severe,193,217,193
tt0844441,Profanity,Severe,159,191,159
tt0844441,"Alcohol, Drugs & Smoking",Moderate,94,179,94
tt0844441,Frightening & Intense Scenes,Moderate,87,179,87
tt5290382,Sex & Nudity,Severe,338,630,338
tt5290382,Violence & Gore,Severe,233,325,233
tt5290382,Profanity,Moderate,143,333,143
tt5290382,"Alcohol, Drugs & Smoking",Mild,152,299,152
tt5290382,Frightening & Intense Scenes,Moderate,102,294,102
tt0384766,Sex & Nudity,Severe,327,429,327
tt0384766,Violence & Gore,Severe,117,154,117
tt0384766,Profanity,Severe,88,131,88
tt0384766,"Alcohol, Drugs & Smoking",Mild,60,125,60
tt0384766,Frightening & Intense Scenes,Moderate,67,121,67
tt3920596,Sex & Nudity,Severe,305,606,305
tt3920596,Violence & Gore,Moderate,133,243,133
tt3920596,Profanity,Moderate,137,258,137
tt3920596,"Alcohol, Drugs & Smoking",Mild,162,219,162
tt3920596,Frightening & Intense Scenes,Moderate,106,230,106
tt3281796,Sex & Nudity,Severe,281,361,281
tt3281796,Violence & Gore,Severe,115,143,115
tt3281796,Profanity,Severe,114,133,114
tt3281796,"Alcohol, Drugs & Smoking",Severe,110,135,110
tt3281796,Frightening & Intense Scenes,Moderate,55,141,55
tt0904208,Sex & Nudity,Severe,273,375,273
tt0904208,Violence & Gore,Mild,85,134,85
tt0904208,Profanity,Severe,134,160,134
tt0904208,"Alcohol, Drugs & Smoking",Severe,120,150,120
tt0904208,Frightening & Intense Scenes,None,101,131,101
tt13309742,Sex & Nudity,Severe,238,311,238
tt13309742,Violence & Gore,Severe,150,170,150
tt13309742,Profanity,Severe,70,136,70
tt13309742,"Alcohol, Drugs & Smoking",Moderate,76,125,76
tt13309742,Frightening & Intense Scenes,Moderate,64,126,64
tt5743796,Sex & Nudity,Severe,220,355,220
tt5743796,Violence & Gore,Severe,135,177,135
tt5743796,Profanity,Severe,113,159,113
tt5743796,"Alcohol, Drugs & Smoking",Moderate,74,145,74
tt5743796,Frightening & Intense Scenes,Moderate,54,142,54
tt4524056,Sex & Nudity,Severe,215,282,215
tt4524056,Violence & Gore,Severe,70,131,70
tt4524056,Profanity,Moderate,47,125,47
tt4524056,"Alcohol, Drugs & Smoking",Severe,67,124,67
tt4524056,Frightening & Intense Scenes,Moderate,50,122,50
tt11212276,Sex & Nudity,Severe,193,376,193
tt11212276,Violence & Gore,None,69,94,69
tt11212276,Profanity,Severe,48,88,48
tt11212276,"Alcohol, Drugs & Smoking",Moderate,47,88,47
tt11212276,Frightening & Intense Scenes,None,64,80,64
tt2431438,Sex & Nudity,Severe,184,228,184
tt2431438,Violence & Gore,Moderate,47,81,47
tt2431438,Profanity,Moderate,47,84,47
tt2431438,"Alcohol, Drugs & Smoking",Moderate,43,77,43
tt2431438,Frightening & Intense Scenes,Moderate,46,74,46
tt2375692,Sex & Nudity,Severe,182,246,182
tt2375692,Violence & Gore,Severe,80,94,80
tt2375692,Profanity,Severe,56,81,56
tt2375692,"Alcohol, Drugs & Smoking",Moderate,41,90,41
tt2375692,Frightening & Intense Scenes,Severe,53,83,53
tt0840196,Sex & Nudity,Severe,172,283,172
tt0840196,Violence & Gore,Moderate,86,146,86
tt0840196,Profanity,Severe,137,157,137
tt0840196,"Alcohol, Drugs & Smoking",Severe,134,151,134
tt0840196,Frightening & Intense Scenes,Moderate,70,135,70
tt2137109,Sex & Nudity,Severe,167,247,167
tt2137109,Violence & Gore,Mild,19,39,19
tt2137109,Profanity,Mild,17,39,17
tt2137109,"Alcohol, Drugs & Smoking",Mild,15,35,15
tt2137109,Frightening & Intense Scenes,Mild,10,37,10
tt0118421,Sex & Nudity,Severe,164,213,164
tt0118421,Violence & Gore,Severe,95,103,95
tt0118421,Profanity,Severe,92,97,92
tt0118421,"Alcohol, Drugs & Smoking",Severe,82,93,82
tt0118421,Frightening & Intense Scenes,Severe,81,93,81
tt9140342,Sex & Nudity,Severe,161,259,161
tt9140342,Violence & Gore,Mild,52,73,52
tt9140342,Profanity,Moderate,24,41,24
tt9140342,"Alcohol, Drugs & Smoking",Moderate,41,79,41
tt9140342,Frightening & Intense Scenes,Moderate,53,87,53
tt1898069,Sex & Nudity,Severe,159,220,159
tt1898069,Violence & Gore,Severe,100,121,100
tt1898069,Profanity,Severe,73,100,73
tt1898069,"Alcohol, Drugs & Smoking",Moderate,43,97,43
tt1898069,Frightening & Intense Scenes,Moderate,49,95,49
tt4998350,Sex & Nudity,Severe,151,188,151
tt4998350,Violence & Gore,Moderate,35,59,35
tt4998350,Profanity,Severe,50,62,50
tt4998350,"Alcohol, Drugs & Smoking",Severe,36,59,36
tt4998350,Frightening & Intense Scenes,Mild,21,56,21
tt11947418,Sex & Nudity,Severe,147,227,147
tt11947418,Violence & Gore,None,24,35,24
tt11947418,Profanity,Moderate,22,53,22
tt11947418,"Alcohol, Drugs & Smoking",Mild,18,29,18
tt11947418,Frightening & Intense Scenes,None,27,32,27
tt0979432,Sex & Nudity,Severe,146,191,146
tt0979432,Violence & Gore,Severe,64,78,64
tt0979432,Profanity,Severe,55,64,55
tt0979432,"Alcohol, Drugs & Smoking",Severe,59,68,59
tt0979432,Frightening & Intense Scenes,Severe,54,68,54
tt8714904,Sex & Nudity,Severe,144,255,144
tt8714904,Violence & Gore,Severe,85,101,85
tt8714904,Profanity,Severe,70,87,70
tt8714904,"Alcohol, Drugs & Smoking",Severe,81,91,81
tt8714904,Frightening & Intense Scenes,Severe,55,92,55
tt0330251,Sex & Nudity,Severe,125,205,125
tt0330251,Violence & Gore,None,42,59,42
tt0330251,Profanity,Moderate,32,66,32
tt0330251,"Alcohol, Drugs & Smoking",Moderate,32,63,32
tt0330251,Frightening & Intense Scenes,Mild,23,58,23
tt2699128,Sex & Nudity,Severe,125,224,125
tt2699128,Violence & Gore,Severe,42,73,42
tt2699128,Profanity,Severe,51,68,51
tt2699128,"Alcohol, Drugs & Smoking",Moderate,36,70,36
tt2699128,Frightening & Intense Scenes,Moderate,28,64,28
tt0348914,Sex & Nudity,Severe,123,235,123
tt0348914,Violence & Gore,Severe,72,94,72
tt0348914,Profanity,Severe,120,135,120
tt0348914,"Alcohol, Drugs & Smoking",Severe,65,88,65
tt0348914,Frightening & Intense Scenes,Moderate,41,99,41
tt1758429,Sex & Nudity,Severe,122,143,122
tt1758429,Violence & Gore,Severe,44,50,44
tt1758429,Profanity,Severe,34,45,34
tt1758429,"Alcohol, Drugs & Smoking",Moderate,13,40,13
tt1758429,Frightening & Intense Scenes,Severe,30,39,30
tt0248654,Sex & Nudity,Severe,115,226,115
tt0248654,Violence & Gore,Moderate,34,95,34
tt0248654,Profanity,Severe,58,86,58
tt0248654,"Alcohol, Drugs & Smoking",Severe,47,84,47
tt0248654,Frightening & Intense Scenes,Severe,41,82,41
tt0318871,Sex & Nudity,Severe,115,150,115
tt0318871,Violence & Gore,Severe,81,91,81
tt0318871,Profanity,Mild,50,78,50
tt0318871,"Alcohol, Drugs & Smoking",Mild,54,70,54
tt0318871,Frightening & Intense Scenes,Severe,69,80,69
tt2699110,Sex & Nudity,Severe,114,207,114
tt2699110,Violence & Gore,Moderate,22,41,22
tt2699110,Profanity,Moderate,18,48,18
tt2699110,"Alcohol, Drugs & Smoking",Moderate,22,39,22
tt2699110,Frightening & Intense Scenes,Mild,24,44,24
tt11712058,Sex & Nudity,Severe,113,225,113
tt11712058,Violence & Gore,Severe,63,80,63
tt11712058,Profanity,Severe,73,88,73
tt11712058,"Alcohol, Drugs & Smoking",Moderate,39,82,39
tt11712058,Frightening & Intense Scenes,Severe,48,71,48
tt2249007,Sex & Nudity,Severe,110,167,110
tt2249007,Violence & Gore,Severe,44,67,44
tt2249007,Profanity,Severe,52,69,52
tt2249007,"Alcohol, Drugs & Smoking",Severe,46,60,46
tt2249007,Frightening & Intense Scenes,Moderate,20,58,20
tt18335752,Sex & Nudity,Severe,109,212,109
tt18335752,Violence & Gore,Severe,71,105,71
tt18335752,Profanity,Severe,67,113,67
tt18335752,"Alcohol, Drugs & Smoking",Mild,33,61,33
tt18335752,Frightening & Intense Scenes,Severe,47,70,47
tt1796960,Sex & Nudity,Severe,107,206,107
tt1796960,Violence & Gore,Moderate,53,108,53
tt1796960,Profanity,Moderate,39,121,39
tt1796960,"Alcohol, Drugs & Smoking",Mild,63,101,63
tt1796960,Frightening & Intense Scenes,Moderate,39,104,39
tt2189461,Sex & Nudity,Severe,103,195,103
tt2189461,Violence & Gore,Severe,45,68,45
tt2189461,Profanity,Mild,33,54,33
tt2189461,"Alcohol, Drugs & Smoking",Moderate,22,54,22
tt2189461,Frightening & Intense Scenes,Moderate,23,48,23
tt1492179,Sex & Nudity,Severe,103,145,103
tt1492179,Violence & Gore,Severe,47,56,47
tt1492179,Profanity,Severe,37,49,37
tt1492179,"Alcohol, Drugs & Smoking",Mild,23,47,23
tt1492179,Frightening & Intense Scenes,Moderate,23,47,23
tt2628232,Sex & Nudity,Severe,97,138,97
tt2628232,Violence & Gore,Severe,54,65,54
tt2628232,Profanity,Severe,36,55,36
tt2628232,"Alcohol, Drugs & Smoking",Severe,33,50,33
tt2628232,Frightening & Intense Scenes,Severe,46,56,46
tt5770786,Sex & Nudity,Severe,96,188,96
tt5770786,Violence & Gore,Mild,38,54,38
tt5770786,Profanity,Severe,37,57,37
tt5770786,"Alcohol, Drugs & Smoking",Moderate,31,47,31
tt5770786,Frightening & Intense Scenes,None,35,53,35
tt0439100,Sex & Nudity,Severe,96,149,96
tt0439100,Violence & Gore,Moderate,34,57,34
tt0439100,Profanity,Severe,48,67,48
tt0439100,"Alcohol, Drugs & Smoking",Severe,48,59,48
tt0439100,Frightening & Intense Scenes,Moderate,26,61,26
tt10477528,Sex & Nudity,Severe,95,112,95
tt10477528,Violence & Gore,Mild,8,16,8
tt10477528,Profanity,Moderate,8,14,8
tt10477528,"Alcohol, Drugs & Smoking",Moderate,6,13,6
tt10477528,Frightening & Intense Scenes,Moderate,8,14,8
tt2891574,Sex & Nudity,Severe,88,166,88
tt2891574,Violence & Gore,Mild,34,58,34
tt2891574,Profanity,Severe,36,53,36
tt2891574,"Alcohol, Drugs & Smoking",Moderate,24,52,24
tt2891574,Frightening & Intense Scenes,None,36,43,36
tt5761478,Sex & Nudity,Severe,86,144,86
tt5761478,Violence & Gore,Moderate,2,3,2
tt5761478,Profanity,Severe,2,2,2
tt5761478,"Alcohol, Drugs & Smoking",Severe,2,3,2
tt5761478,Frightening & Intense Scenes,Moderate,3,3,3
tt1582457,Sex & Nudity,Severe,84,116,84
tt1582457,Violence & Gore,Severe,17,33,17
tt1582457,Profanity,Moderate,13,23,13
tt1582457,"Alcohol, Drugs & Smoking",Mild,14,22,14
tt1582457,Frightening & Intense Scenes,Severe,1,2,1
tt0758790,Sex & Nudity,Severe,76,95,76
tt0758790,Violence & Gore,Severe,31,42,31
tt0758790,Profanity,Moderate,15,35,15
tt0758790,"Alcohol, Drugs & Smoking",Mild,20,32,20
tt0758790,Frightening & Intense Scenes,Moderate,11,31,11
tt4326894,Sex & Nudity,Severe,74,118,74
tt4326894,Violence & Gore,Severe,45,71,45
tt4326894,Profanity,Severe,70,80,70
tt4326894,"Alcohol, Drugs & Smoking",Severe,39,72,39
tt4326894,Frightening & Intense Scenes,Moderate,30,77,30
tt9612102,Sex & Nudity,Severe,74,96,74
tt9612102,Violence & Gore,Severe,28,47,28
tt9612102,Profanity,Moderate,8,16,8
tt9612102,"Alcohol, Drugs & Smoking",Severe,47,53,47
tt9612102,Frightening & Intense Scenes,Moderate,21,46,21
tt10244600,Sex & Nudity,Severe,73,103,73
tt10244600,Violence & Gore,Mild,15,29,15
tt10244600,Profanity,Severe,26,34,26
tt10244600,"Alcohol, Drugs & Smoking",Moderate,13,26,13
tt10244600,Frightening & Intense Scenes,None,12,22,12
